ПОДРОБНЫЙ АНАЛИЗ ЗИГЗАГОВ
==================================================
Дата создания: 2025-08-06 14:50:54
Файл данных: processed_data/ml_data.csv
Колонка зигзага: zigzag (5.0%)

ОБЩАЯ СТАТИСТИКА
------------------------------
Всего записей: 266,184
Точек зигзага: 1,532
Анализируемых пар: 1,531

СТАТИСТИКА РАССТОЯНИЙ
------------------------------
Процентное изменение (%):
  Среднее: 10.0767
  Минимальное: 5.0073
  Максимальное: 65.9966
  Медиана: 8.5456
  Стд. отклонение: 5.3095

Изменение цены ($):
  Среднее: 2713.0940
  Минимальное: 167.6800
  Максимальное: 33515.6400
  Медиана: 1748.9900
  Стд. отклонение: 2920.2910

Расстояние в свечах:
  Среднее: 173.7348
  Минимальное: 1.0000
  Максимальное: 4038.0000
  Медиана: 65.0000
  Стд. отклонение: 307.9331

ДЕТАЛЬНЫЙ СПИСОК ВСЕХ РАССТОЯНИЙ
----------------------------------------
№    Тип1  Тип2  Процент%   Цена$        Свечи   
--------------------------------------------------
1    MAX   MIN   7.733      1068.55      28      
2    MIN   MAX   8.627      1100.00      42      
3    MAX   MIN   6.931      959.98       16      
4    MIN   MAX   20.042     2583.47      59      
5    MAX   MIN   6.007      929.49       10      
6    MIN   MAX   5.250      763.56       38      
7    MAX   MIN   7.562      1157.56      11      
8    MIN   MAX   7.986      1130.00      64      
9    MAX   MIN   8.913      1361.96      28      
10   MIN   MAX   23.410     3258.20      153     
11   MAX   MIN   6.783      1165.03      58      
12   MIN   MAX   7.070      1131.92      40      
13   MAX   MIN   8.943      1533.13      75      
14   MIN   MAX   5.701      890.00       17      
15   MAX   MIN   11.812     1949.00      45      
16   MIN   MAX   6.515      948.00       8       
17   MAX   MIN   17.337     2687.00      12      
18   MIN   MAX   19.193     2458.99      20      
19   MAX   MIN   5.754      878.67       12      
20   MIN   MAX   7.696      1107.68      17      
21   MAX   MIN   9.606      1488.95      42      
22   MIN   MAX   7.049      987.57       12      
23   MAX   MIN   12.450     1867.31      62      
24   MIN   MAX   13.992     1837.37      63      
25   MAX   MIN   15.737     2355.68      15      
26   MIN   MAX   6.874      867.00       1       
27   MAX   MIN   15.430     2080.00      2       
28   MIN   MAX   19.419     2213.81      3       
29   MAX   MIN   7.432      1011.81      2       
30   MIN   MAX   10.274     1294.70      14      
31   MAX   MIN   6.158      855.70       9       
32   MIN   MAX   10.421     1359.00      14      
33   MAX   MIN   13.118     1889.00      33      
34   MIN   MAX   7.106      889.00       1       
35   MAX   MIN   6.716      900.00       4       
36   MIN   MAX   12.878     1609.78      43      
37   MAX   MIN   6.292      887.78       20      
38   MIN   MAX   10.271     1358.00      87      
39   MAX   MIN   13.717     2000.00      90      
40   MIN   MAX   6.729      846.45       5       
41   MAX   MIN   6.385      857.25       7       
42   MIN   MAX   13.372     1680.79      92      
43   MAX   MIN   12.274     1748.99      44      
44   MIN   MAX   5.680      710.10       5       
45   MAX   MIN   16.426     2170.10      23      
46   MIN   MAX   9.351      1032.49      1       
47   MAX   MIN   12.031     1452.61      4       
48   MIN   MAX   13.064     1387.50      3       
49   MAX   MIN   5.066      608.38       1       
50   MIN   MAX   7.456      850.00       4       
51   MAX   MIN   10.204     1250.00      8       
52   MIN   MAX   9.545      1050.00      8       
53   MAX   MIN   12.238     1474.65      9       
54   MIN   MAX   8.964      947.95       6       
55   MAX   MIN   21.594     2488.30      12      
56   MIN   MAX   26.608     2404.00      1       
57   MAX   MIN   11.268     1289.00      1       
58   MIN   MAX   12.611     1280.00      1       
59   MAX   MIN   5.949      679.99       1       
60   MIN   MAX   6.873      738.87       3       
61   MAX   MIN   7.798      895.88       1       
62   MIN   MAX   5.036      533.43       4       
63   MAX   MIN   12.128     1349.43      7       
64   MIN   MAX   7.232      707.06       2       
65   MAX   MIN   5.089      533.51       1       
66   MIN   MAX   9.702      965.37       3       
67   MAX   MIN   7.374      804.92       2       
68   MIN   MAX   9.890      1000.00      5       
69   MAX   MIN   13.707     1523.01      15      
70   MIN   MAX   8.052      772.01       3       
71   MAX   MIN   6.371      660.00       3       
72   MIN   MAX   6.526      633.01       3       
73   MAX   MIN   12.533     1295.07      12      
74   MIN   MAX   14.517     1312.01      6       
75   MAX   MIN   8.208      849.50       2       
76   MIN   MAX   22.952     2180.54      18      
77   MAX   MIN   11.386     1329.97      4       
78   MIN   MAX   12.066     1248.98      13      
79   MAX   MIN   9.481      1099.75      12      
80   MIN   MAX   5.797      608.68       3       
81   MAX   MIN   6.064      673.60       7       
82   MIN   MAX   13.833     1443.49      19      
83   MAX   MIN   5.462      648.82       1       
84   MIN   MAX   5.174      581.00       9       
85   MAX   MIN   7.815      923.00       12      
86   MIN   MAX   7.852      854.95       11      
87   MAX   MIN   9.231      1083.97      7       
88   MIN   MAX   7.280      776.02       10      
89   MAX   MIN   9.401      1075.00      9       
90   MIN   MAX   13.851     1435.00      40      
91   MAX   MIN   5.697      672.00       6       
92   MIN   MAX   5.187      577.00       5       
93   MAX   MIN   5.957      697.00       10      
94   MIN   MAX   19.049     2096.00      96      
